2025-03-23 17:11:54,104 INFO: Usuario: 22002359, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:11:54,166 INFO: Usuario: 22002359, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:12:10,738 INFO: Usuario: 22002359, Método: GET, Ruta: /examen, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:12:10,789 INFO: Usuario: 22002359, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:12:14,072 INFO: Usuario: 22002359, Método: POST, Ruta: /alumno, Args: {}, Form: {'csrf_token': 'IjdkNDFlOGY5ZmUzYzc2YmJmZWJlZmQxNzE3NzI3YTljNmMyYTI0MDMi.Z-CVSg.Nt1Kkq7fy3udeu1nUK1dfPL-Rjg', 'nombre': 'Alejandro', 'apellido_paterno': 'Delgado'} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:12:14,130 INFO: Usuario: 22002359, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:06,274 INFO: Usuario: 22002359, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:06,319 INFO: Usuario: 22002359, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:07,154 INFO: Usuario: 22002359, Método: GET, Ruta: /salir, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:07,165 INFO: Usuario: Anónimo, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:07,171 INFO: Usuario: Anónimo, Método: GET, Ruta: /acceso, Args: {'next': '/'}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:07,203 INFO: Usuario: Anónimo, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:14,035 INFO: Usuario: Anónimo, Método: POST, Ruta: /acceso, Args: {}, Form: {'csrf_token': 'IjdkNDFlOGY5ZmUzYzc2YmJmZWJlZmQxNzE3NzI3YTljNmMyYTI0MDMi.Z-CVgw.UM9zmgy8PAthJsaP8XivAxpXHEQ', 'matricula': '00000000', 'password': 'admin'} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:14,147 INFO: Usuario: 00000000, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:14,173 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:42,734 INFO: Usuario: 00000000, Método: GET, Ruta: /preguntas, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:42,783 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:50,126 INFO: Usuario: 00000000, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:50,158 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:51,086 INFO: Usuario: 00000000, Método: GET, Ruta: /resultados, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:51,120 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:52,614 INFO: Usuario: 00000000, Método: GET, Ruta: /resultados, Args: {'grupo_id': '1'}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:52,662 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:54,450 INFO: Usuario: 00000000, Método: GET, Ruta: /resultados, Args: {'grupo_id': '2'}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:54,497 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:59,403 INFO: Usuario: 00000000, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:13:59,438 INFO: Usuario: 00000000, Método: GET, Ruta: /static/output.css, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:14:01,439 INFO: Usuario: 00000000, Método: GET, Ruta: /salir, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
2025-03-23 17:14:01,454 INFO: Usuario: Anónimo, Método: GET, Ruta: /, Args: {}, Form: {} [in /Users/alejandro/Developer/utl/desarrollo web profesional/Examen2doParcial/app.py:30]
